Litter ID,Species,Organ,Location,Origin,Initial mass (g),Date of burial,Date of recovery,Litterbag mass,Contents mass,Empty bag mass,Contents mass (2),Mass Loss 1,Mass Loss 2,Average
H15CC11,Cetraria cucculata,Leaf,Herschel island,H,0.516,21/07/16,12/07/16,4.444,0.319,4.111,0.333,0.38,0.35,0.37
H15CC12,Cetraria cucculata,Leaf,Herschel island,H,0.54,21/07/16,12/07/16,4.439,0.369,4.058,0.381,0.32,0.29,0.31
H15CC13,Cetraria cucculata,Leaf,Herschel island,H,0.514,21/07/16,12/07/16,4.484,0.329,4.149,0.335,0.36,0.35,0.35
H15CC14,Cetraria cucculata,Leaf,Herschel island,H,0.479,21/07/16,12/07/16,4.382,0.306,4.043,0.339,0.36,0.29,0.33
H15CC15,Cetraria cucculata,Leaf,Herschel island,H,0.539,21/07/16,12/07/16,4.421,0.339,4.023,0.398,0.37,0.26,0.32
H15CC16,Cetraria cucculata,Leaf,Herschel island,H,0.503,21/07/16,12/07/16,4.393,0.297,4.078,0.315,0.41,0.37,0.39
H15CC17,Cetraria cucculata,Leaf,Herschel island,H,0.476,21/07/16,12/07/16,4.354,0.235,4.109,0.245,0.51,0.49,0.5
H15CC18,Cetraria cucculata,Leaf,Herschel island,H,0.54,21/07/16,12/07/16,4.455,0.358,4.077,0.378,0.34,0.3,0.32
H15CC19,Cetraria cucculata,Leaf,Herschel island,H,0.486,21/07/16,12/07/16,4.629,0.283,4.328,0.301,0.42,0.38,0.4
H15CC20,Cetraria cucculata,Leaf,Herschel island,H,0.544,21/07/16,12/07/16,4.306,0.323,3.962,0.344,0.41,0.37,0.39
H15EQ1,Equisetum avense,Leaf,Herschel island,H,0.487,21/07/16,,,,,0,1,1,1
H15EQ2,Equisetum avense,Leaf,Herschel island,H,0.487,21/07/16,,,,,0,1,1,1
H15EQ3,Equisetum avense,Leaf,Herschel island,H,0.51,21/07/16,,,,,0,1,1,1
H15EQ4,Equisetum avense,Leaf,Herschel island,H,0.469,21/07/16,,,,,0,1,1,1
H15EQ5,Equisetum avense,Leaf,Herschel island,H,0.513,21/07/16,,,,,0,1,1,1
H15EQ6,Equisetum avense,Leaf,Herschel island,H,0.494,21/07/16,,,,,0,1,1,1
H15EQ7,Equisetum avense,Leaf,Herschel island,H,0.473,21/07/16,,,,,0,1,1,1
H15EQ8,Equisetum avense,Leaf,Herschel island,H,0.512,21/07/16,,,,,0,1,1,1
H15EQ9,Equisetum avense,Leaf,Herschel island,H,0.504,21/07/16,,,,,0,1,1,1
H15EQ10,Equisetum avense,Leaf,Herschel island,H,0.479,21/07/16,,,,,0,1,1,1
H15EQ11,Equisetum avense,Leaf,Herschel island,H,0.547,21/07/16,12/07/16,4.211,0.269,3.865,0.346,0.51,0.37,0.44
H15EQ12,Equisetum avense,Leaf,Herschel island,H,0.498,21/07/16,12/07/16,4.541,0.263,4.212,0.329,0.47,0.34,0.41
H15EQ13,Equisetum avense,Leaf,Herschel island,H,0.539,21/07/16,12/07/16,4.55,0.248,4.245,0.305,0.54,0.43,0.49
H15EQ14,Equisetum avense,Leaf,Herschel island,H,0.522,21/07/16,12/07/16,4.434,0.244,4.139,0.295,0.53,0.43,0.48
H15EQ15,Equisetum avense,Leaf,Herschel island,H,0.524,21/07/16,12/07/16,4.955,0.311,4.604,0.351,0.41,0.33,0.37
H15EQ16,Equisetum avense,Leaf,Herschel island,H,0.496,21/07/16,12/07/16,4.348,0.209,4.044,0.304,0.58,0.39,0.48
H15EQ17,Equisetum avense,Leaf,Herschel island,H,0.523,21/07/16,12/07/16,5.294,0.247,4.904,0.39,0.53,0.25,0.39
H15EQ18,Equisetum avense,Leaf,Herschel island,H,0.478,21/07/16,12/07/16,5.056,0.274,4.658,0.398,0.43,0.17,0.3
H15EQ19,Equisetum avense,Leaf,Herschel island,H,0.532,21/07/16,12/07/16,4.058,0.249,3.735,0.323,0.53,0.39,0.46
H15EQ20,Equisetum avense,Leaf,Herschel island,H,0.498,21/07/16,12/07/16,3.815,0.173,3.564,0.251,0.65,0.5,0.57
