Litter ID,Species,Replicate,Organ,Location,Origin,Initial mass (g),Date of burial,Date of recovery,Litterbag mass,Contents mass,Empty bag mass,Contents mass (2),Mass Loss 1,Mass Loss 2,Average
K15SL20,Stellaria longipes,2,Leaf,Pika/Plateau,Pika camp,0.501,21/08/15,12/08/16,4.437,0.154,4.262,0.175,0.69,0.65,0.67
K15PA1,Poa arctica,1,Leaf,Kluane plateau,Kluane plateau,0.493,21/08/15,08/08/17,4.318,0.139,4.149,0.169,72%,66%,0.69
K15PA2,Poa arctica,1,Leaf,Kluane plateau,Kluane plateau,0.472,21/08/15,08/08/17,4.236,0.163,4.052,0.184,65%,61%,0.63
K15PA3,Poa arctica,1,Leaf,Kluane plateau,Kluane plateau,0.509,21/08/15,08/08/17,4.282,0.173,4.081,0.201,66%,61%,0.63
K15PA4,Poa arctica,1,Leaf,Kluane plateau,Kluane plateau,0.508,21/08/15,08/08/17,4.267,0.16,4.103,0.164,69%,68%,0.68
K15PA5,Poa arctica,1,Leaf,Kluane plateau,Kluane plateau,0.51,21/08/15,08/08/17,4.394,0.177,4.188,0.206,65%,60%,0.62
K15PA6,Poa arctica,2,Leaf,Kluane plateau,Kluane plateau,0.499,21/08/15,08/08/17,4.484,0.17,4.302,0.182,66%,64%,0.65
K15PA7,Poa arctica,2,Leaf,Kluane plateau,Kluane plateau,0.488,21/08/15,08/08/17,4.173,0.145,4.025,0.148,70%,70%,0.7
K15PA8,Poa arctica,2,Leaf,Kluane plateau,Kluane plateau,0.518,21/08/15,08/08/17,4.364,0.168,4.18,0.184,68%,64%,0.66
K15PA9,Poa arctica,2,Leaf,Kluane plateau,Kluane plateau,0.504,21/08/15,08/08/17,4.302,0.149,4.121,0.181,70%,64%,0.67
K15PA10,Poa arctica,2,Leaf,Kluane plateau,Kluane plateau,0.544,21/08/15,08/08/17,4.195,0.114,4.063,0.132,79%,76%,0.77
K15PA11,Poa arctica,1,Leaf,Kluane plateau,Kluane plateau,0.54,21/08/15,12/08/16,4.257,0.199,4.035,0.222,0.63,0.59,0.61
K15PA12,Poa arctica,1,Leaf,Kluane plateau,Kluane plateau,0.512,21/08/15,12/08/16,4.494,0.184,4.308,0.186,0.64,0.64,0.64
K15PA13,Poa arctica,1,Leaf,Kluane plateau,Kluane plateau,0.49,21/08/15,12/08/16,4.483,0.152,4.32,0.163,0.69,0.67,0.68
K15PA14,Poa arctica,1,Leaf,Kluane plateau,Kluane plateau,0.516,21/08/15,12/08/16,4.396,0.196,4.037,0.359,0.62,0.3,0.46
K15PA15,Poa arctica,1,Leaf,Kluane plateau,Kluane plateau,0.524,21/08/15,12/08/16,4.437,0.212,4.336,0.101,0.6,0.81,0.7
K15PA16,Poa arctica,2,Leaf,Kluane plateau,Kluane plateau,0.508,21/08/15,12/08/16,4.441,0.271,4.126,0.315,0.47,0.38,0.42
K15PA17,Poa arctica,2,Leaf,Kluane plateau,Kluane plateau,0.544,21/08/15,12/08/16,4.362,0.237,4.089,0.273,0.56,0.5,0.53
K15PA18,Poa arctica,2,Leaf,Kluane plateau,Kluane plateau,0.503,21/08/15,12/08/16,4.295,0.201,4.037,0.258,0.6,0.49,0.54
K15PA19,Poa arctica,2,Leaf,Kluane plateau,Kluane plateau,0.476,21/08/15,12/08/16,4.278,0.184,4.058,0.22,0.61,0.54,0.58
K15PA20,Poa arctica,2,Leaf,Kluane plateau,Kluane plateau,0.548,21/08/15,12/08/16,4.314,0.212,4.068,0.246,0.61,0.55,0.58
K15FR1,Festuca rubra,1,Leaf,Kluane plateau,Kluane plateau,0.501,21/08/15,08/08/17,4.349,0.085,4.224,0.125,83%,75%,0.79
K15FR2,Festuca rubra,1,Leaf,Kluane plateau,Kluane plateau,0.467,21/08/15,08/08/17,4.091,0.084,3.987,0.104,82%,78%,0.8
K15FR3,Festuca rubra,1,Leaf,Kluane plateau,Kluane plateau,0.507,21/08/15,08/08/17,4.117,0.104,4.003,0.114,79%,78%,0.79
K15FR4,Festuca rubra,1,Leaf,Kluane plateau,Kluane plateau,0.519,21/08/15,08/08/17,4.19,0.104,4.058,0.132,80%,75%,0.77
K15FR5,Festuca rubra,1,Leaf,Kluane plateau,Kluane plateau,0.535,21/08/15,08/08/17,3.927,0.095,3.815,0.112,82%,79%,0.81
K15FR6,Festuca rubra,2,Leaf,Kluane plateau,Kluane plateau,0.489,21/08/15,08/08/17,4.329,0.097,4.21,0.119,80%,76%,0.78
K15FR7,Festuca rubra,2,Leaf,Kluane plateau,Kluane plateau,0.539,21/08/15,08/08/17,4.485,0.133,4.328,0.157,75%,71%,0.73
K15FR8,Festuca rubra,2,Leaf,Kluane plateau,Kluane plateau,0.494,21/08/15,08/08/17,4.28,0.089,4.183,0.097,82%,80%,0.81
K15FR9,Festuca rubra,2,Leaf,Kluane plateau,Kluane plateau,0.476,21/08/15,08/08/17,4.621,0.155,4.451,0.17,67%,64%,0.66
K15FR10,Festuca rubra,2,Leaf,Kluane plateau,Kluane plateau,0.455,21/08/15,08/08/17,4.412,0.15,4.257,0.155,67%,66%,0.66
K15FR11,Festuca rubra,1,Leaf,Kluane plateau,Kluane plateau,0.52,21/08/15,12/08/16,4.5,0.189,4.281,0.219,0.64,0.58,0.61
K15FR12,Festuca rubra,1,Leaf,Kluane plateau,Kluane plateau,0.48,21/08/15,12/08/16,4.517,0.169,4.312,0.205,0.65,0.57,0.61
K15FR13,Festuca rubra,1,Leaf,Kluane plateau,Kluane plateau,0.47,21/08/15,12/08/16,4.218,0.184,4.235,-0.017,0.61,1.04,0.82
K15FR14,Festuca rubra,1,Leaf,Kluane plateau,Kluane plateau,0.477,21/08/15,12/08/16,4.532,0.197,4.285,0.247,0.59,0.48,0.53
K15FR15,Festuca rubra,1,Leaf,Kluane plateau,Kluane plateau,0.514,21/08/15,12/08/16,4.588,0.183,3.999,0.589,0.64,-0.15,0.25
K15FR16,Festuca rubra,2,Leaf,Kluane plateau,Kluane plateau,0.456,21/08/15,12/08/16,4.726,0.206,4.474,0.252,0.55,0.45,0.5
K15FR17,Festuca rubra,2,Leaf,Kluane plateau,Kluane plateau,0.499,21/08/15,12/08/16,4.708,0.233,4.462,0.246,0.53,0.51,0.52
K15FR18,Festuca rubra,2,Leaf,Kluane plateau,Kluane plateau,0.52,21/08/15,12/08/16,4.703,0.253,4.436,0.267,0.51,0.49,0.5
K15FR19,Festuca rubra,2,Leaf,Kluane plateau,Kluane plateau,0.51,21/08/15,12/08/16,4.556,0.225,4.302,0.254,0.56,0.5,0.53
K15FR20,Festuca rubra,2,Leaf,Kluane plateau,Kluane plateau,0.499,21/08/15,12/08/16,4.551,0.224,4.317,0.234,0.55,0.53,0.54
K15BG(s)1,Betula glandulosa,1,Stem,Pika camp,Pika camp,0.513,21/08/15,08/08/17,3.017,0.398,2.617,0.4,22%,22%,0.22
K15BG(s)2,Betula glandulosa,1,Stem,Pika camp,Pika camp,0.534,21/08/15,08/08/17,2.922,0.446,2.473,0.449,16%,16%,0.16
K15BG(s)3,Betula glandulosa,1,Stem,Pika camp,Pika camp,0.546,21/08/15,08/08/17,3.101,0.484,2.61,0.491,11%,10%,0.11
K15BG(s)4,Betula glandulosa,1,Stem,Pika camp,Pika camp,0.481,21/08/15,08/08/17,3.016,0.413,2.596,0.42,14%,13%,0.13
K15BG(s)5,Betula glandulosa,1,Stem,Pika camp,Pika camp,0.492,21/08/15,08/08/17,3.004,0.393,2.621,0.383,20%,22%,0.21
K15BG(s)6,Betula glandulosa,2,Stem,Pika camp,Pika camp,0.542,21/08/15,08/08/17,3.157,0.383,2.772,0.385,29%,29%,0.29
K15BG(s)7,Betula glandulosa,2,Stem,Pika camp,Pika camp,0.509,21/08/15,08/08/17,3.078,0.403,2.671,0.407,21%,20%,0.2
K15BG(s)8,Betula glandulosa,2,Stem,Pika camp,Pika camp,0.512,21/08/15,08/08/17,3.167,0.401,2.761,0.406,22%,21%,0.21
K15BG(s)9,Betula glandulosa,2,Stem,Pika camp,Pika camp,0.5,21/08/15,08/08/17,3.159,0.385,2.772,0.387,23%,23%,0.23
K15BG(s)10,Betula glandulosa,2,Stem,Pika camp,Pika camp,0.501,21/08/15,08/08/17,3.22,0.416,2.794,0.426,17%,15%,0.16
K15BG(s)11,Betula glandulosa,1,Stem,Pika camp,Pika camp,0.536,21/08/15,12/08/16,2.818,0.445,2.365,0.453,0.17,0.15,0.16
